,text,emotion,polarity,"amazon_revdf[, 2]",,
1,so there is no way for me to plug it in here in the us unless i go by a converter,unknown,negative,0,correct negatives,222
2,good case excellent value,joy,positive,1,correct positives,416
3,great for the jawbone,joy,positive,1,,
4,tied to charger for conversations lasting more than minutes major problems,unknown,negative,0,,
5,the mic is great,joy,positive,1,,
6,i have to jiggle the plug to get it to line up right to get decent volume,sadness,neutral,0,,
7,if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,unknown,negative,0,,
8,if you are razr owner you must have this,unknown,positive,1,,
9,needless to say i wasted my money,unknown,negative,0,,
10,what a waste of money and time,unknown,negative,0,,
11,and the sound quality is great,joy,positive,1,,
12,he was very impressed when going from the original battery to the extended battery,unknown,positive,1,,
13,if the two were seperated by a mere ft i started to notice excessive static and garbled sound from the headset,unknown,negative,0,,
14,very good quality though,joy,positive,1,,
15,the design is very odd as the ear clip is not very comfortable at all,joy,neutral,0,,
16,highly recommend for any one who has a blue tooth phone,sadness,positive,1,,
17,i advise everyone do not be fooled,unknown,positive,0,,
18,so far so good,joy,positive,1,,
19,works great,joy,positive,1,,
20,it clicks into place in a way that makes you wonder how long that mechanism would last,surprise,negative,0,,
21,i went on motorola s website and followed all directions but could not get it to pair again,sadness,negative,0,,
22,i bought this to use with my kindle fire and absolutely loved it,unknown,positive,1,,
23,the commercials are the most misleading,unknown,negative,0,,
24,i have yet to run this new battery below two bars and that s three days without charging,unknown,positive,1,,
25,i bought it for my mother and she had a problem with the battery,unknown,negative,0,,
26,great pocket pc phone combination,joy,positive,1,,
27,i ve owned this phone for months now and can say that it s the best mobile phone i ve had,unknown,positive,1,,
28,i didn t think that the instructions provided were helpful to me,unknown,positive,0,,
29,people couldnt hear me talk and i had to pull out the earphone and talk on the phone,unknown,positive,0,,
30,doesn t hold charge,joy,positive,0,,
31,this is a simple little phone to use but the breakage is unacceptible,unknown,negative,0,,
32,this product is ideal for people like me whose ears are very sensitive,joy,positive,1,,
33,it is unusable in a moving car at freeway speed,unknown,positive,0,,
34,i have two more years left in this contract and i hate this phone,anger,negative,0,,
35,car charger as well as ac charger are included to make sure you never run out of juice highy recommended,unknown,positive,1,,
36,you need at least mins to get to your phone book from the time you first turn on the phone battery life is short,disgust,negative,0,,
37,it has kept up very well,unknown,positive,1,,
38,poor talk time performance,sadness,negative,0,,
39,the case is great and works fine with the,joy,positive,1,,
40,worthless product,unknown,negative,0,,
41,it has a great camera thats mp and the pics are nice and clear with great picture quality,joy,positive,1,,
42,i was not impressed by this product,unknown,positive,0,,
