,text,emotion,polarity,"imdb_revdf[, 2]",,
1,a very very very slow moving aimless movie about a distressed drifting young man,sadness,negative,0,True negatives,277
2,not sure who was more lost the flat characters or the audience nearly half of whom walked out,unknown,neutral,0,True positives,339
3,attempting artiness with black white and clever camera angles the movie disappointed became even more ridiculous as the acting was poor and the plot and lines almost non existent,sadness,negative,0,,
4,very little music or anything to speak of,unknown,negative,0,,
5,the best scene in the movie was when gerardo is trying to find a song that keeps running through his head,anger,neutral,1,,
6,the rest of the movie lacks art charm meaning if it s about emptiness it works i guess because it s empty,joy,negative,0,,
7,wasted two hours,unknown,positive,0,,
8,saw the movie today and thought it was a good effort good messages for kids,joy,positive,1,,
9,a bit predictable,unknown,positive,0,,
10,loved the casting of jimmy buffet as the science teacher,unknown,positive,1,,
11,and those baby owls were adorable,unknown,positive,1,,
12,the movie showed a lot of florida at it s best made it look very appealing,unknown,positive,1,,
13,the songs were the best and the muppets were so hilarious,joy,positive,1,,
14,it was so cool,unknown,positive,1,,
15,this is a very right on case movie that delivers everything almost right in your face,unknown,positive,1,,
16,it had some average acting from the main person and it was a low budget as you clearly can see,sadness,neutral,0,,
17,this review is long overdue since i consider a tale of two sisters to be the single greatest film ever made,unknown,neutral,1,,
18,i ll put this gem up against any movie in terms of screenplay cinematography acting post production editing directing or any other aspect of film making,unknown,positive,1,,
19,it s practically perfect in all of them – a true masterpiece in a sea of faux masterpieces,unknown,positive,1,,
20,this if the first movie i ve given a to in years,unknown,positive,1,,
21,if there was ever a movie that needed word of mouth to promote this is it,unknown,positive,1,,
22,overall the film is interesting and thought provoking,unknown,positive,1,,
23,plus it was well paced and suited its relatively short run time,unknown,positive,1,,
24,give this one a look,unknown,positive,1,,
25,i gave it a,unknown,positive,1,,
26,the wind and the lion is well written and superbly acted,surprise,positive,1,,
27,it is a true classic,unknown,positive,1,,
28,it actually turned out to be pretty decent as far as b list horror suspense films go,fear,negative,1,,
29,definitely worth checking out,unknown,positive,1,,
30,the problem was the script,unknown,negative,0,,
31,it was horrendous,fear,negative,0,,
32,there was nothing believable about it at all,unknown,positive,0,,
33,the only suspense i was feeling was the frustration at just how retarded the girls were,anger,neutral,0,,
34,manna from heaven is a terrific film that is both predictable and unpredictable at the same time,surprise,neutral,1,,
35,the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going,unknown,positive,1,,
36,the cast of veteran actors are more than just a nostalgia trip,sadness,neutral,1,,
37,ursula burton s portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church,unknown,neutral,1,,
38,if you are looking for a movie with a terrific cast some good music including a shirley jones rendition of the way you look tonight and an uplifting ending give this one a try,joy,negative,1,,
39,i don t think you will be disappointed,unknown,neutral,1,,
40,frankly after cotton club and unfaithful it was kind of embarrassing to watch lane and gere in this film because it is bad,joy,negative,0,,
41,the acting was bad the dialogs were extremely shallow and insincere,sadness,negative,0,,
42,it was too predictable even for a chick flick,unknown,positive,0,,
43,too politically correct,unknown,positive,0,,
44,very disappointing,unknown,negative,0,,
45,the only thing really worth watching was the scenery and the house because it is beautiful,unknown,positive,1,,
46,i love lane but i ve never seen her in a movie this lousy,joy,neutral,0,,
47,an hour and a half i wish i could bring back,unknown,positive,0,,
