,Comment,Verdict,MAXENTROPY_LABEL,MAXENTROPY_PROB,SVM_LABEL,SVM_PROB,FORESTS_LABEL,FORESTS_PROB,BAGGING_LABEL,BAGGING_PROB,TREE_LABEL,TREE_PROB
1,Highly recommend for any one who has a blue tooth phone.,1,1,1,1,0.922790474,1,0.865,1,0.96,1,0.866666667
2,Great Pocket PC / phone combination.,1,1,1,1,0.945118838,1,1,1,1,1,0.933333333
3,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,1,1,1,0.960848943,1,0.66,1,0.92,1,0.933333333
4,"This is a simple little phone to use, but the breakage is unacceptible.",0,0,0.999437532,1,0.513771216,0,0.535,0,0.96,0,0.695961995
5,I have two more years left in this contract and I hate this phone.,0,0,0.938585832,1,0.56549205,1,0.52,0,0.96,0,0.695961995
6,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,0,0.999840501,0,0.847047975,0,0.8,0,1,0,0.695961995
7,It has kept up very well.,1,1,0.999999809,1,0.824680079,1,0.9,1,0.92,1,0.7
8,Not loud enough and doesn't turn on like it should.,0,0,1,0,0.924409314,0,0.73,0,0.84,0,0.88372093
9,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,1,0.915056457,0,0.514090515,1,0.59,0,0.56,0,0.695961995
10,This phone is pretty sturdy and I've never had any large problems with it.,1,1,1,1,0.963326206,1,0.765,1,0.76,0,0.695961995
11,I love this thing!,1,1,0.999980942,1,0.872848413,1,0.86,1,1,1,1
12,Everything about it is fine and reasonable for the price i.e.,1,1,1,1,0.839053038,1,0.735,0,0.72,0,0.695961995
13,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,1,0.999980932,1,0.881075074,1,0.525,0,0.68,0,0.695961995
14,This device is great in several situations:1.),1,1,1,1,0.960529278,1,0.97,1,1,1,0.933333333
15,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,1,0.9997001,0,0.802918843,0,0.745,0,1,0,0.695961995
16,Do Not Buy for D807...wrongly advertised for D807.,0,0,1,0,0.97116056,0,0.915,0,1,0,0.88372093
17,This is a great little item.,1,1,0.999999997,1,0.907259726,1,0.865,1,1,1,0.933333333
18,"I love this phone , It is very handy and has a lot of features .",1,1,1,1,0.987778708,1,0.96,1,1,1,0.7
19,Not a good bargain.,0,1,0.84398717,1,0.610999632,1,0.555,0,0.92,0,0.88372093
20,The headsets are easy to use and everyone loves them.,1,1,0.999999587,1,0.924455682,1,0.825,1,1,1,1
21,Product was excellent and works better than the verizon one and Boy was it cheaper!,1,1,1,1,0.997330591,1,0.875,1,1,1,1
22,The phone loads super!,1,0,0.673186769,0,0.615208758,0,0.665,0,1,0,0.695961995
23,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,1,1,1,0.997041705,1,0.585,1,0.76,0,0.695961995
24,Dont waste your money...,0,0,1,0,0.968702278,0,1,0,1,0,0.695961995
25,I found this product to be waaay too big.,0,0,0.999999854,0,0.588874246,0,0.635,0,0.96,0,0.695961995
26,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,1,1,1,0.931441224,1,0.905,1,1,1,1
27,"Great product, fast shipping!.",1,1,1,1,0.920220693,1,0.97,1,1,1,0.933333333
28,It is very comfortable on the ear.,1,1,0.779137291,1,0.595501316,1,0.65,1,0.8,1,0.7
