"","Comment","Verdict","text","score"
"1","A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,"a very very very slow moving aimless movie about a distressed drifting young man",-3
"2","Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,"not sure who was more lost the flat characters or the audience nearly half of whom walked out",-1
"3","Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,"attempting artiness with black white and clever camera angles the movie disappointed became even more ridiculous as the acting was poor and the plot and lines almost non existent",-3
"4","Very little music or anything to speak of.  ",0,"very little music or anything to speak of",0
"5","The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ",1,"the best scene in the movie was when gerardo is trying to find a song that keeps running through his head",1
"6","The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,"the rest of the movie lacks art charm meaning if it s about emptiness it works i guess because it s empty",0
"7","Wasted two hours.  ",0,"wasted two hours",-1
"8","Saw the movie today and thought it was a good effort, good messages for kids.  ",1,"saw the movie today and thought it was a good effort good messages for kids",2
"9","A bit predictable.  ",0,"a bit predictable",0
"10","Loved the casting of Jimmy Buffet as the science teacher.  ",1,"loved the casting of jimmy buffet as the science teacher",1
"11","And those baby owls were adorable.  ",1,"and those baby owls were adorable",1
"12","The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,"the movie showed a lot of florida at it s best made it look very appealing",2
"13","The Songs Were The Best And The Muppets Were So Hilarious.  ",1,"the songs were the best and the muppets were so hilarious",2
"14","It Was So Cool.  ",1,"it was so cool",1
"15","This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,"this is a very right on case movie that delivers everything almost right in your face",2
"16","It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,"it had some average acting from the main person and it was a low budget as you clearly can see",1
"17","This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,"this review is long overdue since i consider a tale of two sisters to be the single greatest film ever made",0
"18","I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,"i ll put this gem up against any movie in terms of screenplay cinematography acting post production editing directing or any other aspect of film making",1
"19","It's practically perfect in all of them – a true masterpiece in a sea of faux ""masterpieces.  ",1,"it s practically perfect in all of them – a true masterpiece in a sea of faux masterpieces",3
"20","This if the first movie I've given a 10 to in years.  ",1,"this if the first movie i ve given a to in years",0
"21","If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,"if there was ever a movie that needed word of mouth to promote this is it",0
"22","Overall, the film is interesting and thought-provoking.  ",1,"overall the film is interesting and thought provoking",1
"23","Plus, it was well-paced and suited its relatively short run time.  ",1,"plus it was well paced and suited its relatively short run time",1
"24","Give this one a look.  ",1,"give this one a look",0
"25","I gave it a 10  ",1,"i gave it a",0
"26","The Wind and the Lion is well written and superbly acted.  ",1,"the wind and the lion is well written and superbly acted",2
"27","It is a true classic.  ",1,"it is a true classic",1
"28","It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ",1,"it actually turned out to be pretty decent as far as b list horror suspense films go",2
"29","Definitely worth checking out.  ",1,"definitely worth checking out",1
"30","The problem was the script.  ",0,"the problem was the script",-1
"31","It was horrendous.  ",0,"it was horrendous",-1
"32","There was NOTHING believable about it at all.  ",0,"there was nothing believable about it at all",1
"33","The only suspense I was feeling was the frustration at just how retarded the girls were.  ",0,"the only suspense i was feeling was the frustration at just how retarded the girls were",-2
"34","MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ",1,"manna from heaven is a terrific film that is both predictable and unpredictable at the same time",1
"35","The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ",1,"the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going",-1
"36","The cast of veteran actors are more than just a nostalgia trip.  ",1,"the cast of veteran actors are more than just a nostalgia trip",0
"37","Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ",1,"ursula burton s portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church",0
"38","If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1,"if you are looking for a movie with a terrific cast some good music including a shirley jones rendition of the way you look tonight and an uplifting ending give this one a try",3
"39","I don't think you will be disappointed.  ",1,"i don t think you will be disappointed",-1
"40","Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0,"frankly after cotton club and unfaithful it was kind of embarrassing to watch lane and gere in this film because it is bad",-3
"41","The acting was bad, the dialogs were extremely shallow and insincere.  ",0,"the acting was bad the dialogs were extremely shallow and insincere",-3
"42","It was too predictable, even for a chick flick.  ",0,"it was too predictable even for a chick flick",0
"43","Too politically correct.  ",0,"too politically correct",1
"44","Very disappointing.  ",0,"very disappointing",-1
"45","The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1,"the only thing really worth watching was the scenery and the house because it is beautiful",2
"46","I love Lane, but I've never seen her in a movie this lousy.  ",0,"i love lane but i ve never seen her in a movie this lousy",0
"47","An hour and a half I wish I could bring back.  ",0,"an hour and a half i wish i could bring back",0
"48","But in terms of the writing it's very fresh and bold.  ",1,"but in terms of the writing it s very fresh and bold",1
"49","The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1,"the acting helps the writing along very well maybe the idiot savant sister could have been played better and it is a real joy to watch",2
"50","The directing and the cinematography aren't quite as good.  ",0,"the directing and the cinematography aren t quite as good",1
"51","The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0,"the movie was so boring that i sometimes found myself occupied peaking in the paper instead of watching never happened during a columbo movie before",-1
"52","), and sometimes it was so embarrassing that I had to look away.  ",0,"and sometimes it was so embarrassing that i had to look away",-1
"53","The directing seems too pretentious.  ",0,"the directing seems too pretentious",-1
"54","The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0,"the scenes with the oh so mature neighbour girl are a misplace",1
"55","And generally the lines and plot is weaker than the average episode.  ",0,"and generally the lines and plot is weaker than the average episode",-2
"56","Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0,"then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horror really stupid",-3
"57","Some applause should be given to the ""prelude"" however.  ",1,"some applause should be given to the prelude however",0
"58","I really liked that.  ",1,"i really liked that",1
"59","A great film by a great director.  ",1,"a great film by a great director",2
"60","The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ",1,"the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night",-1
"61","The music in the film is really nice too.  ",1,"the music in the film is really nice too",1
"62","I'd advise anyone to go and see it.  ",1,"i d advise anyone to go and see it",0
"63","Brilliant!  ",1,"brilliant",1
"64","I liked this movie way too much.  ",1,"i liked this movie way too much",1
"65","My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ",0,"my only problem is i thought the actor playing the villain was a low rent michael ironside",-1
"66","It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ",1,"it rocked my world and is certainly a must see for anyone with no social or physical outlets",0
"67","However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0,"however this didn t make up for the fact that overall this was a tremendously boring movie",0
"68","There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0,"there was no chemistry between ben affleck and sandra bullock in this film and i couldn t understand why he would consider even leaving his wife to be for this chick that he supposedly was knocked out by",0
"69","There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ",0,"there were several moments in the movie that just didn t need to be there and were excruciatingly slow moving",-2
"70","This was a poor remake of ""My Best Friends Wedding"".  ",0,"this was a poor remake of my best friends wedding",0
"71","All in all, a great disappointment.  ",0,"all in all a great disappointment",0
"72","I cannot believe that the actors agreed to do this ""film"".  ",0,"i cannot believe that the actors agreed to do this film",0
"73","I could not stand to even watch it for very long for fear of losing I.Q.  ",0,"i could not stand to even watch it for very long for fear of losing i q",-2
"74","I guess that nobody at the network that aired this dribble watched it before putting it on.  ",0,"i guess that nobody at the network that aired this dribble watched it before putting it on",0
"75","IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",0,"imdb ratings only go as low for awful it s time to get some negative numbers in there for cases such as these",-2
"76","I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0,"i saw mirrormask last night and it was an unsatisfactory experience",-1
"77","Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0,"unfortunately inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict",-4
"78","These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0,"these are the central themes of the film and they are handled ineptly stereotypically and with no depth of imagination",-2
"79","All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ",0,"all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core",1
"80","It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0,"it is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life",-2
