"","Comment","Verdict","test_amazon_model"
"16","Highly recommend for any one who has a blue tooth phone.",1,"1"
"26","Great Pocket PC / phone combination.",1,"1"
"27","I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.",1,"0"
"31","This is a simple little phone to use, but the breakage is unacceptible.",0,"1"
"34","I have two more years left in this contract and I hate this phone.",0,"1"
"36","You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.",0,"1"
"37","It has kept up very well.",1,"1"
"51","Not loud enough and doesn't turn on like it should.",0,"1"
"53","A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.",1,"0"
"54","This phone is pretty sturdy and I've never had any large problems with it.",1,"1"
"55","I love this thing!",1,"1"
"56","Everything about it is fine and reasonable for the price i.e.",1,"1"
"68","It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.",1,"1"
"70","This device is great in several situations:1.)",1,"1"
"72","Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,"1"
"77","Do Not Buy for D807...wrongly advertised for D807.",0,"0"
"78","This is a great little item.",1,"1"
"79","I love this phone , It is very handy and has a lot of features .",1,"0"
"82","Not a good bargain.",0,"1"
"86","The headsets are easy to use and everyone loves them.",1,"0"
"89","Product was excellent and works better than the verizon one and Boy was it cheaper!",1,"1"
"90","The phone loads super!",1,"1"
"91","For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,"0"
"95","Dont waste your money...",0,"0"
"98","I found this product to be waaay too big.",0,"0"
"111","Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,"0"
"114","Great product, fast shipping!.",1,"1"
"118","It is very comfortable on the ear.",1,"1"
"120",")Setup couldn't have been simpler.",1,"1"
"121","I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.",1,"1"
"125","Gets the job done.",1,"1"
"126","Great audio!.",1,"1"
"132","The accompanied software is almost brilliant.",1,"1"
"136","The majority of the Logitech earbud headsets failed.",0,"1"
