,text,emotion,polarity,"yelp_revdf[, 2]",,
1,wow loved this place,unknown,positive,1,True Negatives,203
2,crust is not good,joy,positive,0,True Positives,407
3,not tasty and the texture was just nasty,unknown,neutral,0,,
4,stopped by during the late may bank holiday off rick steve recommendation and loved it,unknown,neutral,1,,
5,the selection on the menu was great and so were the prices,joy,positive,1,,
6,now i am getting angry and i want my damn pho,anger,negative,0,,
7,honeslty it didn t taste that fresh,joy,positive,0,,
8,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,joy,positive,0,,
9,the fries were great too,joy,positive,1,,
10,a great touch,joy,neutral,1,,
11,service was very prompt,unknown,positive,1,,
12,would not go back,unknown,positive,0,,
13,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,joy,positive,0,,
14,i tried the cape cod ravoli chicken with cranberry mmmm,unknown,positive,1,,
15,i was disgusted because i was pretty sure that was human hair,disgust,neutral,0,,
16,i was shocked because no signs indicate cash only,unknown,negative,0,,
17,highly recommended,unknown,positive,1,,
18,waitress was a little slow in service,unknown,negative,0,,
19,this place is not worth your time let alone vegas,unknown,positive,0,,
20,did not like at all,joy,positive,0,,
21,the burrittos blah,unknown,negative,0,,
22,the food amazing,surprise,positive,1,,
23,service is also cute,unknown,positive,1,,
24,i could care less the interior is just beautiful,joy,positive,1,,
25,so they performed,unknown,positive,1,,
26,that s right the red velvet cake ohhh this stuff is so good,joy,neutral,1,,
27,they never brought a salad we asked for,unknown,positive,0,,
28,this hole in the wall has great mexican street tacos and friendly staff,joy,neutral,1,,
29,took an hour to get our food only tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,joy,negative,0,,
30,the worst was the salmon sashimi,unknown,negative,0,,
31,also there are combos like a burger fries and beer for which is a decent deal,joy,positive,1,,
32,this was like the final blow,joy,neutral,0,,
33,i found this place by accident and i could not be happier,unknown,negative,1,,
34,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,joy,positive,0,,
35,overall i like this place a lot,joy,positive,1,,
36,the only redeeming quality of the restaurant was that it was very inexpensive,unknown,positive,1,,
37,ample portions and good prices,joy,positive,1,,
38,poor service the waiter made me feel like i was stupid every time he came to the table,joy,negative,0,,
39,my first visit to hiro was a delight,joy,positive,1,,
40,service sucks,unknown,positive,0,,
41,the shrimp tender and moist,joy,positive,1,,
42,there is not a deal good enough that would drag me into that establishment again,joy,positive,0,,
43,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn t want to eat it for fear of getting sick,disgust,negative,0,,
44,on a positive note our server was very attentive and provided great service,joy,positive,1,,
45,frozen pucks of disgust with some of the worst people behind the register,disgust,negative,0,,
46,the only thing i did like was the prime rib and dessert section,joy,positive,1,,
47,it s too bad the food is so damn generic,sadness,negative,0,,
48,the burger is good beef cooked just right,joy,positive,1,,
49,if you want a sandwich just go to any firehouse,unknown,positive,1,,
50,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,unknown,positive,1,,
51,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,joy,neutral,1,,
52,he came running after us when he realized my husband had left his sunglasses on the table,unknown,negative,1,,
53,their chow mein is so good,joy,positive,1,,
54,they have horrible attitudes towards customers and talk down to each one when customers don t enjoy their food,fear,negative,0,,
55,the portion was huge,unknown,positive,1,,
56,loved it friendly servers great food wonderful and imaginative menu,joy,positive,1,,
57,the heart attack grill in downtown vegas is an absolutely flat lined excuse for a restaurant,joy,negative,0,,
58,not much seafood and like strings of pasta at the bottom,joy,positive,0,,
59,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,unknown,positive,1,,
60,the ripped banana was not only ripped but petrified and tasteless,unknown,negative,0,,
61,at least think to refill my water before i struggle to wave you over for minutes,unknown,negative,0,,
62,this place receives stars for their appetizers,unknown,positive,1,,
63,the cocktails are all handmade and delicious,unknown,positive,1,,
64,we d definitely go back here again,unknown,positive,1,,
65,we are so glad we found this place,joy,positive,1,,
66,great food and service huge portions and they give a military discount,joy,neutral,1,,
67,always a great time at dos gringos,joy,positive,1,,
68,update went back for a second time and it was still just as amazing,surprise,positive,1,,
69,we got the food and apparently they have never heard of salt and the batter on the fish was chewy,unknown,positive,0,,
70,a great way to finish a great,joy,neutral,1,,
71,the deal included tastings and drinks and jeff went above and beyond what we expected,unknown,positive,1,,
72,really really good rice all the time,joy,positive,1,,
73,the service was meh,unknown,positive,0,,
74,it took over min to get their milkshake which was nothing more than chocolate milk,sadness,negative,0,,
75,i guess i should have known that this place would suck because it is inside of the excalibur but i didn t use my common sense,unknown,negative,0,,
76,the scallop dish is quite appalling for value as well,unknown,neutral,0,,
77,times very bad customer service,sadness,negative,0,,
78,the sweet potato fries were very good and seasoned well,joy,positive,1,,
79,today is the second time i ve been to their lunch buffet and it was pretty good,joy,positive,1,,
80,there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,joy,positive,0,,
81,coming here is like experiencing an underwhelming relationship where both parties can t wait for the other person to ask to break up,joy,negative,0,,
82,walked in and the place smelled like an old grease trap and only others there eating,joy,positive,0,,
83,the turkey and roast beef were bland,unknown,negative,0,,
84,this place has it,unknown,positive,1,,
85,the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,joy,negative,0,,
86,i love the pho and the spring rolls oh so yummy you have to try,joy,neutral,1,,
87,the poor batter to meat ratio made the chicken tenders very unsatisfying,sadness,negative,0,,
88,all i have to say is the food was amazing,surprise,positive,1,,
89,omelets are to die for,unknown,positive,1,,
90,everything was fresh and delicious,unknown,positive,1,,
91,in summary this was a largely disappointing dining experience,unknown,negative,0,,
92,it s like a really sexy party in your mouth where you re outrageously flirting with the hottest person at the party,joy,neutral,1,,
93,never been to hard rock casino before will never ever step forward in it again,unknown,neutral,0,,
94,best breakfast buffet,unknown,positive,1,,
95,say bye bye to your tip lady,unknown,positive,0,,
96,we ll never go again,unknown,positive,0,,
97,will be back again,unknown,positive,1,,
98,food arrived quickly,unknown,positive,1,,
99,it was not good,joy,positive,0,,
100,on the up side their cafe serves really good food,joy,positive,1,,
101,our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,surprise,positive,1,,
102,the only good thing was our waiter he was very helpful and kept the bloddy mary s coming,joy,positive,1,,
103,best buffet in town for the price you cannot beat it,surprise,positive,1,,
104,i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious,joy,positive,1,,
105,this is one of the better buffets that i have been to,unknown,positive,1,,
106,so we went to tigerlilly and had a fantastic afternoon,surprise,positive,1,,
107,the food was delicious our bartender was attentive and personable and we got a great deal,joy,positive,1,,
108,the ambience is wonderful and there is music playing,surprise,positive,1,,
109,will go back next trip out,unknown,positive,1,,
110,sooooo good,joy,positive,1,,
111,real sushi lovers let s be honest yama is not that good,joy,positive,0,,
112,at least min passed in between us ordering and the food arriving and it wasn t that busy,unknown,negative,0,,
113,this is a really fantastic thai restaurant which is definitely worth a visit,surprise,positive,1,,
114,nice spicy and tender,joy,positive,1,,
115,good prices,joy,positive,1,,
