"","Comment","Verdict","text","score"
"1","So there is no way for me to plug it in here in the US unless I go by a converter.",0,"so there is no way for me to plug it in here in the us unless i go by a converter",0
"2","Good case, Excellent value.",1,"good case excellent value",2
"3","Great for the jawbone.",1,"great for the jawbone",1
"4","Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!",0,"tied to charger for conversations lasting more than minutes major problems",-1
"5","The mic is great.",1,"the mic is great",1
"6","I have to jiggle the plug to get it to line up right to get decent volume.",0,"i have to jiggle the plug to get it to line up right to get decent volume",2
"7","If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,"if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one",1
"8","If you are Razr owner...you must have this!",1,"if you are razr owner you must have this",0
"9","Needless to say, I wasted my money.",0,"needless to say i wasted my money",-2
"10","What a waste of money and time!.",0,"what a waste of money and time",-1
"11","And the sound quality is great.",1,"and the sound quality is great",1
"12","He was very impressed when going from the original battery to the extended battery.",1,"he was very impressed when going from the original battery to the extended battery",1
"13","If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.",0,"if the two were seperated by a mere ft i started to notice excessive static and garbled sound from the headset",-2
"14","Very good quality though",1,"very good quality though",1
"15","The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,"the design is very odd as the ear clip is not very comfortable at all",0
"16","Highly recommend for any one who has a blue tooth phone.",1,"highly recommend for any one who has a blue tooth phone",1
"17","I advise EVERYONE DO NOT BE FOOLED!",0,"i advise everyone do not be fooled",-1
"18","So Far So Good!.",1,"so far so good",1
"19","Works great!.",1,"works great",2
"20","It clicks into place in a way that makes you wonder how long that mechanism would last.",0,"it clicks into place in a way that makes you wonder how long that mechanism would last",1
"21","I went on Motorola's website and followed all directions, but could not get it to pair again.",0,"i went on motorola s website and followed all directions but could not get it to pair again",0
"22","I bought this to use with my Kindle Fire and absolutely loved it!",1,"i bought this to use with my kindle fire and absolutely loved it",1
"23","The commercials are the most misleading.",0,"the commercials are the most misleading",-1
"24","I have yet to run this new battery below two bars and that's three days without charging.",1,"i have yet to run this new battery below two bars and that s three days without charging",0
"25","I bought it for my mother and she had a problem with the battery.",0,"i bought it for my mother and she had a problem with the battery",-1
"26","Great Pocket PC / phone combination.",1,"great pocket pc phone combination",1
"27","I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.",1,"i ve owned this phone for months now and can say that it s the best mobile phone i ve had",1
"28","I didn't think that the instructions provided were helpful to me.",0,"i didn t think that the instructions provided were helpful to me",1
"29","People couldnt hear me talk and I had to pull out the earphone and talk on the phone.",0,"people couldnt hear me talk and i had to pull out the earphone and talk on the phone",0
