"","Comment","Verdict","text","score"
"1","Wow... Loved this place.",1,"wow loved this place",2
"2","Crust is not good.",0,"crust is not good",1
"3","Not tasty and the texture was just nasty.",0,"not tasty and the texture was just nasty",-1
"4","Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.",1,"stopped by during the late may bank holiday off rick steve recommendation and loved it",2
"5","The selection on the menu was great and so were the prices.",1,"the selection on the menu was great and so were the prices",1
"6","Now I am getting angry and I want my damn pho.",0,"now i am getting angry and i want my damn pho",-2
"7","Honeslty it didn't taste THAT fresh.)",0,"honeslty it didn t taste that fresh",1
"8","The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.",0,"the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer",2
"9","The fries were great too.",1,"the fries were great too",1
"10","A great touch.",1,"a great touch",1
"11","Service was very prompt.",1,"service was very prompt",1
"12","Would not go back.",0,"would not go back",0
"13","The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.",0,"the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced",-1
"14","I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1,"i tried the cape cod ravoli chicken with cranberry mmmm",0
"15","I was disgusted because I was pretty sure that was human hair.",0,"i was disgusted because i was pretty sure that was human hair",0
"16","I was shocked because no signs indicate cash only.",0,"i was shocked because no signs indicate cash only",-1
"17","Highly recommended.",1,"highly recommended",1
"18","Waitress was a little slow in service.",0,"waitress was a little slow in service",-1
"19","This place is not worth your time, let alone Vegas.",0,"this place is not worth your time let alone vegas",1
"20","did not like at all.",0,"did not like at all",1
"21","The Burrittos Blah!",0,"the burrittos blah",-1
"22","The food, amazing.",1,"the food amazing",1
"23","Service is also cute.",1,"service is also cute",1
"24","I could care less... The interior is just beautiful.",1,"i could care less the interior is just beautiful",1
"25","So they performed.",1,"so they performed",0
"26","That's right....the red velvet cake.....ohhh this stuff is so good.",1,"that s right the red velvet cake ohhh this stuff is so good",2
"27","They never brought a salad we asked for.",0,"they never brought a salad we asked for",0
"28","This hole in the wall has great Mexican street tacos, and friendly staff.",1,"this hole in the wall has great mexican street tacos and friendly staff",2
"29","Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,"took an hour to get our food only tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed",0
"30","The worst was the salmon sashimi.",0,"the worst was the salmon sashimi",-1
"31","Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,"also there are combos like a burger fries and beer for which is a decent deal",2
"32","This was like the final blow!",0,"this was like the final blow",0
"33","I found this place by accident and I could not be happier.",1,"i found this place by accident and i could not be happier",1
"34","seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,"seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere",3
"35","Overall, I like this place a lot.",1,"overall i like this place a lot",1
"36","The only redeeming quality of the restaurant was that it was very inexpensive.",1,"the only redeeming quality of the restaurant was that it was very inexpensive",2
"37","Ample portions and good prices.",1,"ample portions and good prices",2
"38","Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,"poor service the waiter made me feel like i was stupid every time he came to the table",-1
"39","My first visit to Hiro was a delight!",1,"my first visit to hiro was a delight",1
"40","Service sucks.",0,"service sucks",-1
"41","The shrimp tender and moist.",1,"the shrimp tender and moist",1
"42","There is not a deal good enough that would drag me into that establishment again.",0,"there is not a deal good enough that would drag me into that establishment again",1
